          ----- ----- | --------- --------- |
  137.000     1   138 |    0.0002    0.0759 |
  138.000     1   139 |    0.0002    0.0760 |
  139.000     1   140 |    0.0002    0.0762 |
  140.000     1   141 |    0.0010    0.0772 |
  141.000     1   142 |    0.0002    0.0774 |
  142.000     1   143 |    0.0002    0.0775 |
  143.000     1   144 |    0.0009    0.0785 |
  144.000     1   145 |    0.0010    0.0794 |
  145.000     1   146 |    0.0010    0.0804 |
  146.000     1   147 |    0.0009    0.0813 |
  147.000     1   148 |    0.0002    0.0815 |
  148.000     1   149 |    0.0010    0.0824 |
  149.000     1   150 |    0.0009    0.0834 |
  150.000     1   151 |    0.0002    0.0836 |
  151.000     1   152 |    0.0002    0.0837 |
  152.000     1   153 |    0.0010    0.0847 |
  153.000     1   154 |    0.0010    0.0857 |
  154.000     1   155 |    0.0009    0.0866 |
  155.000     1   156 |    0.0014    0.0880 |
  156.000     1   157 |    0.0002    0.0881 |
  157.000     1   158 |    0.0004    0.0885 |
  158.000     1   159 |    0.0002    0.0887 |
  159.000     1   160 |    0.0002    0.0889 |
  160.000     1   161 |    0.0002    0.0890 |
  161.000     1   162 |    0.0002    0.0892 |
  162.000     1   163 |    0.0012    0.0904 |
  163.000     1   164 |    0.0013    0.0917 |
  164.000     1   165 |    0.0009    0.0926 |
  165.000     1   166 |    0.0016    0.0942 |
  166.000     1   167 |    0.0012    0.0954 |
  167.000     1   168 |    0.0009    0.0963 |
  168.000     1   169 |    0.0013    0.0977 |
  169.000     1   170 |    0.0015    0.0991 |
  170.000     1   171 |    0.0012    0.1003 |
  171.000     1   172 |    0.0013    0.1016 |
  172.000     1   173 |    0.0012    0.1029 |
  173.000     1   174 |    0.0009    0.1038 |
  174.000     1   175 |    0.0004    0.1042 |
  175.000     1   176 |    0.0014    0.1055 |
  176.000     1   177 |    0.0002    0.1057 |
  177.000     1   178 |    0.0002    0.1059 |
  178.000     1   179 |    0.0010    0.1068 |
  179.000     1   180 |    0.0002    0.1070 |
  180.000     1   181 |    0.0009    0.1079 |
  181.000     1   182 |    0.0002    0.1081 |
  182.000     1   183 |    0.0002    0.1083 |
  183.000     1   184 |    0.0016    0.1099 |
  184.000     1   185 |    0.0011    0.1110 |
  185.000     1   186 |    0.0009    0.1120 |
  186.000     1   187 |    0.0002    0.1121 |
  187.000     1   188 |    0.0010    0.1131 |
  188.000     1   189 |    0.0009    0.1141 |
  189.000     1   190 |    0.0009    0.1150 |
  190.000     1   191 |    0.0002    0.1152 |
  191.000     1   192 |    0.0002    0.1154 |
  192.000     1   193 |    0.0012    0.1166 |
  193.000     1   194 |    0.0002    0.1167 |
  194.000     1   195 |    0.0009    0.1177 |
  195.000     1   196 |    0.0012    0.1189 |
  196.000     1   197 |    0.0009    0.1198 |
  197.000     1   198 |    0.0002    0.1200 |
  198.000     1   199 |    0.0010    0.1210 |
  199.000     1   200 |    0.0011    0.1221 |
  200.000     1   201 |    0.0013    0.1234 |
  201.000     1   202 |    0.0009    0.1243 |
  202.000     1   203 |    0.0004    0.1247 |
  203.000     1   204 |    0.0010    0.1257 |
  204.000     1   205 |    0.0002    0.1259 |
  205.000     1   206 |    0.0002    0.1260 |
  206.000     1   207 |    0.0002    0.1262 |
  207.000     1   208 |    0.0002    0.1263 |
  208.000     1   209 |    0.0002    0.1265 |
  209.000     1   210 |    0.0002    0.1267 |
  210.000     1   211 |    0.0002    0.1269 |
  211.000     1   212 |    0.0012    0.1281 |
  212.000     1   213 |    0.0002    0.1283 |
  213.000     1   214 |    0.0002    0.1284 |
  214.000     1   215 |    0.0005    0.1289 |
  215.000     1   216 |    0.0002    0.1291 |
  216.000     1   217 |    0.0002    0.1292 |
  217.000     1   218 |    0.0002    0.1294 |
  218.000     1   219 |    0.0002    0.1296 |
  219.000     1   220 |    0.0002    0.1297 |
  220.000     1   221 |    0.0002    0.1299 |
  221.000     1   222 |    0.0010    0.1309 |
  222.000     1   223 |    0.0002    0.1311 |
  223.000     1   224 |    0.0002    0.1312 |
  224.000     1   225 |    0.0014    0.1326 |
  225.000     1   226 |    0.0011    0.1337 |
  226.000     1   227 |    0.0010    0.1347 |
  227.000     1   228 |    0.0009    0.1356 |
  228.000     1   229 |    0.0002    0.1358 |
  229.000     1   230 |    0.0002    0.1360 |
  230.000     1   231 |    0.0002    0.1362 |
  231.000     1   232 |    0.0005    0.1367 |
  232.000     1   233 |    0.0007    0.1374 |
  233.000     1   234 |    0.0014    0.1388 |
  234.000     1   235 |    0.0007    0.1396 |
  235.000     1   236 |    0.0010    0.1406 |
  236.000     1   237 |    0.0009    0.1415 |
  237.000     1   238 |    0.0009    0.1424 |
  238.000     1   239 |    0.0006    0.1430 |
  239.000     1   240 |    0.0010    0.1440 |
  240.000     1   241 |    0.0007    0.1448 |
  241.000     1   242 |    0.0006    0.1454 |
  242.000     1   243 |    0.0013    0.1467 |
  243.000     1   244 |    0.0006    0.1473 |
  244.000     1   245 |    0.0007    0.1480 |
  245.000     1   246 |    0.0004    0.1485 |
  246.000     1   247 |    0.0004    0.1488 |
  247.000     1   248 |    0.0006    0.1494 |
  248.000     1   249 |    0.0005    0.1499 |
  249.000     1   250 |    0.0005    0.1505 |
  250.000     1   251 |    0.0004    0.1508 |
  251.000     1   252 |    0.0004    0.1512 |
  252.000     1   253 |    0.0005    0.1516 |
  253.000     1   254 |    0.0004    0.1520 |
  254.000     1   255 |    0.0007    0.1528 |
  255.000     1   256 |    0.0006    0.1534 |
  256.000     1   257 |    0.0004    0.1538 |
  257.000     1   258 |    0.0002    0.1540 |
  258.000     1   259 |    0.0003    0.1543 |
  259.000     1   260 |    0.0004    0.1547 |
  260.000     1   261 |    0.0004    0.1551 |
  261.000     1   262 |    0.0008    0.1559 |
  262.000     1   263 |    0.0010    0.1569 |
  263.000     1   264 |    0.0006    0.1575 |
  264.000     1   265 |    0.0006    0.1581 |
  265.000     1   266 |    0.0007    0.1587 |
  266.000     1   267 |    0.0008    0.1595 |
  267.000     1   268 |    0.0008    0.1603 |
  268.000     1   269 |    0.0007    0.1610 |
  269.000     1   270 |    0.0004    0.1614 |
  270.000     1   271 |    0.0005    0.1619 |
  271.000     1   272 |    0.0004    0.1623 |
  272.000     1   273 |    0.0004    0.1627 |
  273.000     1   274 |    0.0007    0.1635 |
  274.000     1   275 |    0.0007    0.1642 |
  275.000     1   276 |    0.0005    0.1647 |
  276.000     1   277 |    0.0006    0.1653 |
  277.000     1   278 |    0.0006    0.1659 |
  278.000     1   279 |    0.0002    0.1661 |
  279.000     1   280 |    0.0004    0.1664 |
  280.000     1   281 |    0.0002    0.1666 |
  281.000     1   282 |    0.0004    0.1670 |
  282.000     1   283 |    0.0005    0.1676 |
  283.000     1   284 |    0.0002    0.1678 |
  284.000     1   285 |    0.0004    0.1682 |
  285.000     1   286 |    0.0002    0.1684 |
  286.000     1   287 |    0.0002    0.1686 |
  287.000     1   288 |    0.0004    0.1690 |
  288.000     1   289 |    0.0002    0.1692 |
  289.000     1   290 |    0.0005    0.1697 |
  290.000     1   291 |    0.0005    0.1702 |
  291.000     1   292 |    0.0003    0.1706 |
  292.000     1   293 |    0.0002    0.1708 |
  293.000     1   294 |    0.0002    0.1709 |
  294.000     1   295 |    0.0003    0.1713 |
  295.000     1   296 |    0.0004    0.1717 |
  296.000     1   297 |    0.0004    0.1721 |
  297.000     1   298 |    0.0002    0.1723 |
  298.000     1   299 |    0.0004    0.1727 |
  299.000     1   300 |    0.0012    0.1739 |
  300.000     1   301 |    0.0002    0.1741 |
  301.000     1   302 |    0.0010    0.1751 |
  302.000     1   303 |    0.0009    0.1760 |
  303.000     1   304 |    0.0002    0.1762 |
  304.000     1   305 |    0.0004    0.1766 |
  305.000     1   306 |    0.0010    0.1776 |
  306.000     1   307 |    0.0002    0.1777 |
  307.000     1   308 |    0.0002    0.1779 |
  308.000     1   309 |    0.0010    0.1789 |
  309.000     1   310 |    0.0010    0.1799 |
  310.000     1   311 |    0.0009    0.1808 |
  311.000     1   312 |    0.0002    0.1810 |
  312.000     1   313 |    0.0010    0.1820 |
  313.000     1   314 |    0.0010    0.1829 |
  314.000     1   315 |    0.0012    0.1842 |
  315.000     1   316 |    0.0011    0.1852 |
  316.000     1   317 |    0.0002    0.1854 |
  317.000     1   318 |    0.0010    0.1864 |
  318.000     1   319 |    0.0010    0.1873 |
  319.000     1   320 |    0.0005    0.1878 |
  320.000     1   321 |    0.0002    0.1879 |
  321.000     1   322 |    0.0009    0.1889 |
  322.000     1   323 |    0.0002    0.1890 |
  323.000     1   324 |    0.0003    0.1893 |
  324.000     1   325 |    0.0007    0.1900 |
  325.000     1   326 |    0.0005    0.1905 |
  326.000     1   327 |    0.0008    0.1913 |
  327.000     1   328 |    0.0002    0.1914 |
  328.000     1   329 |    0.0004    0.1918 |
  329.000     1   330 |    0.0010    0.1928 |
  330.000     1   331 |    0.0004    0.1931 |
  331.000     1   332 |    0.0002    0.1933 |
  332.000     1   333 |    0.0002    0.1935 |
  333.000     1   334 |    0.0012    0.1948 |
  334.000     1   335 |    0.0007    0.1954 |
  335.000     1   336 |    0.0001    0.1956 |
  336.000     1   337 |    0.0013    0.1969 |
  337.000     1   338 |    0.0002    0.1971 |
  338.000     1   339 |    0.0010    0.1981 |
  339.000     1   340 |    0.0010    0.1991 |
  340.000     1   341 |    0.0002    0.1992 |
  341.000     1   342 |    0.0010    0.2002 |
  342.000     1   343 |    0.0002    0.2004 |
  343.000     1   344 |    0.0002    0.2005 |
  344.000     1   345 |    0.0002    0.2007 |
  345.000     1   346 |    0.0011    0.2017 |
  346.000     1   347 |    0.0002    0.2019 |
  347.000     1   348 |    0.0002    0.2021 |
  348.000     1   349 |    0.0012    0.2033 |
  349.000     1   350 |    0.0002    0.2035 |
  350.000     1   351 |    0.0002    0.2037 |
  351.000     1   352 |    0.0010    0.2047 |
  352.000     1   353 |    0.0002    0.2049 |
  353.000     1   354 |    0.0002    0.2050 |
  354.000     1   355 |    0.0010    0.2060 |
  355.000     1   356 |    0.0013    0.2073 |
  356.000     1   357 |    0.0002    0.2074 |
  357.000     1   358 |    0.0011    0.2086 |
  358.000     1   359 |    0.0009    0.2095 |
  359.000     1   360 |    0.0002    0.2097 |
  360.000     1   361 |    0.0002    0.2098 |
  361.000     1   362 |    0.0002    0.2100 |
  362.000     1   363 |    0.0001    0.2102 |
  363.000     1   364 |    0.0002    0.2103 |
  364.000     1   365 |    0.0002    0.2105 |
  365.000     1   366 |    0.0002    0.2107 |
  366.000     1   367 |    0.0002    0.2109 |
  367.000     1   368 |    0.0002    0.2110 |
  368.000     1   369 |    0.0010    0.2120 |
  369.000     1   370 |    0.0002    0.2122 |
  370.000     1   371 |    0.0010    0.2132 |
  371.000     1   372 |    0.0009    0.2141 |
  372.000     1   373 |    0.0002    0.2142 |
  373.000     1   374 |    0.0004    0.2146 |
  374.000     1   375 |    0.0002    0.2148 |
  375.000     1   376 |    0.0002    0.2150 |
  376.000     1   377 |    0.0002    0.2151 |
  377.000     1   378 |    0.0002    0.2153 |
  378.000     1   379 |    0.0002    0.2155 |
  379.000     1   380 |    0.0009    0.2164 |
  380.000     1   381 |    0.0002    0.2166 |
  381.000     1   382 |    0.0009    0.2175 |
  382.000     1   383 |    0.0010    0.2185 |
  383.000     1   384 |    0.0004    0.2190 |
  384.000     1   385 |    0.0010    0.2199 |
  385.000     1   386 |    0.0002    0.2201 |
  386.000     1   387 |    0.0012    0.2212 |
  387.000     1   388 |    0.0002    0.2214 |
  388.000     1   389 |    0.0012    0.2226 |
  389.000     1   390 |    0.0009    0.2235 |
  390.000     1   391 |    0.0002    0.2237 |
  391.000     1   392 |    0.0002    0.2238 |
  392.000     1   393 |    0.0002    0.2240 |
  393.000     1   394 |    0.0009    0.2249 |
  394.000     1   395 |    0.0009    0.2259 |
  395.000     1   396 |    0.0012    0.2271 |
  396.000     1   397 |    0.0002    0.2273 |
  397.000     1   398 |    0.0002    0.2274 |
  398.000     1   399 |    0.0009    0.2284 |
  399.000     1   400 |    0.0014    0.2297 |
  400.000     1   401 |    0.0009    0.2307 |
  401.000     1   402 |    0.0008    0.2314 |
  402.000     1   403 |    0.0009    0.2324 |
  403.000     1   404 |    0.0017    0.2340 |
  404.000     1   405 |    0.0004    0.2344 |
  405.000     1   406 |    0.0004    0.2348 |
  406.000     1   407 |    0.0004    0.2352 |
  407.000     1   408 |    0.0010    0.2362 |
  408.000     1   409 |    0.0010    0.2372 |
  409.000     1   410 |    0.0009    0.2382 |
  410.000     1   411 |    0.0011    0.2392 |
  411.000     1   412 |    0.0009    0.2402 |
  412.000     1   413 |    0.0012    0.2414 |
  413.000     1   414 |    0.0007    0.2421 |
  414.000     1   415 |    0.0013    0.2434 |
  415.000     1   416 |    0.0008    0.2442 |
  416.000     1   417 |    0.0015    0.2457 |
  417.000     1   418 |    0.0014    0.2471 |
  418.000     1   419 |    0.0019    0.2490 |
  419.000     1   420 |    0.0008    0.2497 |
  420.000     1   421 |    0.0008    0.2506 |
  421.000     1   422 |    0.0006    0.2512 |
  422.000     1   423 |    0.0006    0.2518 |
  423.000     1   424 |    0.0016    0.2534 |
  424.000     1   425 |    0.0012    0.2545 |
  425.000     1   426 |    0.0014    0.2559 |
  426.000     1   427 |    0.0014    0.2573 |
  427.000     1   428 |    0.0006    0.2580 |
  428.000     1   429 |    0.0012    0.2591 |
  429.000     1   430 |    0.0013    0.2604 |
  430.000     1   431 |    0.0006    0.2610 |
  431.000     1   432 |    0.0002    0.2611 |
  432.000     1   433 |    0.0010    0.2622 |
  433.000     1   434 |    0.0012    0.2633 |
  434.000     1   435 |    0.0007    0.2641 |
  435.000     1   436 |    0.0012    0.2653 |
  436.000     1   437 |    0.0009    0.2662 |
  437.000     1   438 |    0.0006    0.2668 |
  438.000     1   439 |    0.0009    0.2677 |
  439.000     1   440 |    0.0012    0.2689 |
  440.000     1   441 |    0.0011    0.2700 |
  441.000     1   442 |    0.0009    0.2710 |
  442.000     1   443 |    0.0012    0.2722 |
  443.000     1   444 |    0.0002    0.2723 |
  444.000     1   445 |    0.0009    0.2733 |
  445.000     1   446 |    0.0009    0.2742 |
  446.000     1   447 |    0.0010    0.2752 |
  447.000     1   448 |    0.0012    0.2764 |
  448.000     1   449 |    0.0012    0.2776 |
  449.000     1   450 |    0.0012    0.2788 |
  450.000     1   451 |    0.0014    0.2802 |
  451.000     1   452 |    0.0006    0.2808 |
  452.000     1   453 |    0.0004    0.2812 |
  453.000     1   454 |    0.0008    0.2820 |
  454.000     1   455 |    0.0008    0.2828 |
  455.000     1   456 |    0.0014    0.2842 |
  456.000     1   457 |    0.0014    0.2856 |
  457.000     1   458 |    0.0014    0.2871 |
  458.000     1   459 |    0.0012    0.2883 |
  459.000     1   460 |    0.0017    0.2900 |
  460.000     1   461 |    0.0014    0.2914 |
  461.000     1   462 |    0.0012    0.2925 |
  462.000     1   463 |    0.0013    0.2939 |
  463.000     1   464 |    0.0014    0.2953 |
  464.000     1   465 |    0.0013    0.2966 |
  465.000     1   466 |    0.0010    0.2976 |
  466.000     1   467 |    0.0011    0.2988 |
  467.000     1   468 |    0.0012    0.2999 |
  468.000     1   469 |    0.0011    0.3010 |
  469.000     1   470 |    0.0014    0.3024 |
  470.000     1   471 |    0.0012    0.3036 |
  471.000     1   472 |    0.0002    0.3038 |
  472.000     1   473 |    0.0012    0.3049 |
  473.000     1   474 |    0.0012    0.3062 |
  474.000     1   475 |    0.0010    0.3071 |
  475.000     1   476 |    0.0011    0.3083 |
  476.000     1   477 |    0.0002    0.3084 |
  477.000     1   478 |    0.0002    0.3086 |
  478.000     1   479 |    0.0002    0.3088 |
  479.000     1   480 |    0.0010    0.3097 |
  480.000     1   481 |    0.0004    0.3101 |
  481.000     1   482 |    0.0002    0.3103 |
  482.000     1   483 |    0.0002    0.3104 |
  483.000     1   484 |    0.0003    0.3108 |
  484.000     1   485 |    0.0002    0.3109 |
  485.000     1   486 |    0.0008    0.3117 |
  486.000     1   487 |    0.0003    0.3120 |
  487.000     1   488 |    0.0002    0.3122 |
  488.000     1   489 |    0.0007    0.3130 |
  489.000     1   490 |    0.0007    0.3136 |
  490.000     1   491 |    0.0004    0.3140 |
  491.000     1   492 |    0.0008    0.3148 |
  492.000     1   493 |    0.0004    0.3152 |
  493.000     1   494 |    0.0004    0.3156 |
  494.000     1   495 |    0.0006    0.3162 |
  495.000     1   496 |    0.0002    0.3164 |
  496.000     1   497 |    0.0006    0.3169 |
  497.000     1   498 |    0.0002    0.3172 |
  498.000     1   499 |    0.0005    0.3176 |
  499.000     1   500 |    0.0008    0.3184 |
  500.000     1   501 |    0.0012    0.3196 |
  501.000     1   502 |    0.0004    0.3200 |
