          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
   75.000     1     1     1.0    100   7500 |  100  7501    0.0506    0.0005    0.0005 |
   76.000     1     1     1.0    100   7600 |  100  7601    0.0507    0.0005    0.0005 |
   77.000     1     1     1.0    100   7700 |  100  7701    0.0503    0.0005    0.0005 |
   78.000     1     1     1.0    100   7800 |  100  7801    0.0501    0.0005    0.0005 |
   79.000     1     1     1.0    100   7900 |  100  7901    0.0502    0.0005    0.0005 |
   80.000     1     1     1.0    100   8000 |  100  8001    0.0501    0.0005    0.0005 |
   81.000     1     1     1.0    100   8100 |  100  8101    0.0501    0.0005    0.0005 |
   82.000     1     1     1.0    100   8200 |  100  8201    0.0500    0.0005    0.0005 |
   83.000     1     1     1.0    100   8300 |  100  8301    0.0508    0.0005    0.0005 |
   84.000     1     1     1.0    100   8400 |  100  8401    0.0510    0.0005    0.0005 |
   85.000     1     1     1.0    100   8500 |  100  8501    0.0503    0.0005    0.0005 |
   86.000     1     1     1.0    100   8600 |  100  8601    0.0505    0.0005    0.0005 |
   87.000     1     1     1.0    100   8700 |  100  8701    0.0502    0.0005    0.0005 |
   88.000     1     1     1.0    100   8800 |  100  8801    0.0499    0.0005    0.0005 |
   89.000     1     1     1.0    100   8900 |  100  8901    0.0500    0.0005    0.0005 |
   90.000     1     1     1.0    100   9000 |  100  9001    0.0510    0.0005    0.0005 |
   91.000     1     1     1.0    100   9100 |  100  9101    0.0501    0.0005    0.0005 |
   92.000     1     1     1.0    100   9200 |  100  9201    0.0501    0.0005    0.0005 |
   93.000     1     1     1.0    100   9300 |  100  9301    0.0500    0.0005    0.0005 |
   94.000     1     1     1.0    100   9400 |  100  9401    0.0503    0.0005    0.0005 |
   95.000     1     1     1.0    100   9500 |  100  9501    0.0500    0.0005    0.0005 |
   96.000     1     1     1.0    100   9600 |  100  9601    0.0508    0.0005    0.0005 |
   97.000     1     1     1.0    100   9700 |  100  9701    0.0507    0.0005    0.0005 |
   98.000     1     1     1.0    100   9800 |  100  9801    0.0501    0.0005    0.0005 |
   99.000     1     1     1.0    100   9900 |  100  9901    0.0501    0.0005    0.0005 |
  100.000     1     1     1.0    100  10000 |  100 10001    0.0501    0.0005    0.0005 |
  101.000     1     1     1.0    100  10100 |  100 10101    0.0499    0.0005    0.0005 |
  102.000     1     1     1.0    100  10200 |  100 10201    0.0499    0.0005    0.0005 |
  103.000     1     1     1.0    100  10300 |  100 10301    0.0503    0.0005    0.0005 |
  104.000     1     1     1.0    100  10400 |  100 10401    0.0501    0.0005    0.0005 |
  105.000     1     1     1.0    100  10500 |  100 10501    0.0501    0.0005    0.0005 |
  106.000     1     1     1.0    100  10600 |  100 10601    0.0509    0.0005    0.0005 |
  107.000     1     1     1.0    100  10700 |  100 10701    0.0503    0.0005    0.0005 |
  108.000     1     1     1.0    100  10800 |  100 10801    0.0500    0.0005    0.0005 |
  109.000     1     1     1.0    100  10900 |  100 10901    0.0499    0.0005    0.0005 |
  110.000     1     1     1.0    100  11000 |  100 11001    0.0504    0.0005    0.0005 |
  111.000     1     1     1.0    100  11100 |  100 11101    0.0503    0.0005    0.0005 |
  112.000     1     1     1.0    100  11200 |  100 11201    0.0506    0.0005    0.0005 |
  113.000     1     1     1.0    100  11300 |  100 11301    0.0501    0.0005    0.0005 |
  114.000     1     1     1.0    100  11400 |  100 11401    0.0508    0.0005    0.0005 |
  115.000     1     1     1.0    100  11500 |  100 11501    0.0501    0.0005    0.0005 |
  116.000     1     1     1.0    100  11600 |  100 11601    0.0501    0.0005    0.0005 |
  117.000     1     1     1.0    100  11700 |  100 11701    0.0506    0.0005    0.0005 |
  118.000     1     1     1.0    100  11800 |  100 11801    0.0503    0.0005    0.0005 |
  119.000     1     1     1.0    100  11900 |  100 11901    0.0505    0.0005    0.0005 |
  120.000     1     1     1.0    100  12000 |  100 12001    0.0503    0.0005    0.0005 |
  121.000     1     1     1.0    100  12100 |  100 12101    0.0500    0.0005    0.0005 |
  122.000     1     1     1.0    100  12200 |  100 12201    0.0506    0.0005    0.0005 |
  123.000     1     1     1.0    100  12300 |  100 12301    0.0500    0.0005    0.0005 |
  124.000     1     1     1.0    100  12400 |  100 12401    0.0502    0.0005    0.0005 |
  125.000     1     1     1.0    100  12500 |  100 12501    0.0502    0.0005    0.0005 |
  126.000     1     1     1.0    100  12600 |  100 12601    0.0502    0.0005    0.0005 |
  127.000     1     1     1.0    100  12700 |  100 12701    0.0507    0.0005    0.0005 |
  128.000     1     1     1.0    100  12800 |  100 12801    0.0502    0.0005    0.0005 |
  129.000     1     1     1.0    100  12900 |  100 12901    0.0501    0.0005    0.0005 |
  130.000     1     1     1.0    100  13000 |  100 13001    0.0503    0.0005    0.0005 |
  131.000     1     1     1.0    100  13100 |  100 13101    0.0503    0.0005    0.0005 |
  132.000     1     1     1.0    100  13200 |  100 13201    0.0506    0.0005    0.0005 |
  133.000     1     1     1.0    100  13300 |  100 13301    0.0508    0.0005    0.0005 |
  134.000     1     1     1.0    100  13400 |  100 13401    0.0508    0.0005    0.0005 |
  135.000     1     1     1.0    100  13500 |  100 13501    0.0505    0.0005    0.0005 |
  136.000     1     1     1.0    100  13600 |  100 13601    0.0507    0.0005    0.0005 |
  137.000     1     1     1.0    100  13700 |  100 13701    0.0503    0.0005    0.0005 |
  138.000     1     1     1.0    100  13800 |  100 13801    0.0511    0.0005    0.0005 |
  139.000     1     1     1.0    100  13900 |  100 13901    0.0507    0.0005    0.0005 |
  140.000     1     1     1.0    100  14000 |  100 14001    0.0502    0.0005    0.0005 |
  141.000     1     1     1.0    100  14100 |  100 14101    0.0502    0.0005    0.0005 |
  142.000     1     1     1.0    100  14200 |  100 14201    0.0509    0.0005    0.0005 |
  143.000     1     1     1.0    100  14300 |  100 14301    0.0501    0.0005    0.0005 |
  144.000     1     1     1.0    100  14400 |  100 14401    0.0501    0.0005    0.0005 |
  145.000     1     1     1.0    100  14500 |  100 14501    0.0499    0.0005    0.0005 |
  146.000     1     1     1.0    100  14600 |  100 14601    0.0505    0.0005    0.0005 |
  147.000     1     1     1.0    100  14700 |  100 14701    0.0503    0.0005    0.0005 |
  148.000     1     1     1.0    100  14800 |  100 14801    0.0504    0.0005    0.0005 |
  149.000     1     1     1.0    100  14900 |  100 14901    0.0502    0.0005    0.0005 |
  150.000     1     1     1.0    100  15000 |  100 15001    0.0505    0.0005    0.0005 |
  151.000     1     1     1.0    100  15100 |  100 15101    0.0508    0.0005    0.0005 |
  152.000     1     1     1.0    100  15200 |  100 15201    0.0502    0.0005    0.0005 |
  153.000     1     1     1.0    100  15300 |  100 15301    0.0502    0.0005    0.0005 |
  154.000     1     1     1.0    100  15400 |  100 15401    0.0502    0.0005    0.0005 |
