          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  327.000     1     1     1.0    100  32700 |  100 32701    0.0509    0.0005    0.0005 |
  328.000     1     1     1.0    100  32800 |  100 32801    0.0508    0.0005    0.0005 |
  329.000     1     1     1.0    100  32900 |  100 32901    0.0520    0.0005    0.0005 |
  330.000     1     1     1.0    100  33000 |  100 33001    0.0528    0.0005    0.0005 |
  331.000     1     1     1.0    100  33100 |  100 33101    0.0520    0.0005    0.0005 |
  332.000     1     1     1.0    100  33200 |  100 33201    0.0511    0.0005    0.0005 |
  333.000     1     1     1.0    100  33300 |  100 33301    0.0515    0.0005    0.0005 |
  334.000     1     1     1.0    100  33400 |  100 33401    0.0509    0.0005    0.0005 |
  335.000     1     1     1.0    100  33500 |  100 33501    0.0508    0.0005    0.0005 |
  336.000     1     1     1.0    100  33600 |  100 33601    0.0509    0.0005    0.0005 |
  337.000     1     1     1.0    100  33700 |  100 33701    0.0512    0.0005    0.0005 |
  338.000     1     1     1.0    100  33800 |  100 33801    0.0510    0.0005    0.0005 |
  339.000     1     1     1.0    100  33900 |  100 33901    0.0509    0.0005    0.0005 |
  340.000     1     1     1.0    100  34000 |  100 34001    0.0510    0.0005    0.0005 |
  341.000     1     1     1.0    100  34100 |  100 34101    0.0511    0.0005    0.0005 |
  342.000     1     1     1.0    100  34200 |  100 34201    0.0507    0.0005    0.0005 |
  343.000     1     1     1.0    100  34300 |  100 34301    0.0512    0.0005    0.0005 |
  344.000     1     1     1.0    100  34400 |  100 34401    0.0510    0.0005    0.0005 |
  345.000     1     1     1.0    100  34500 |  100 34501    0.0510    0.0005    0.0005 |
  346.000     1     1     1.0    100  34600 |  100 34601    0.0508    0.0005    0.0005 |
  347.000     1     1     1.0    100  34700 |  100 34701    0.0508    0.0005    0.0005 |
  348.000     1     1     1.0    100  34800 |  100 34801    0.0511    0.0005    0.0005 |
  349.000     1     1     1.0    100  34900 |  100 34901    0.0506    0.0005    0.0005 |
  350.000     1     1     1.0    100  35000 |  100 35001    0.0510    0.0005    0.0005 |
  351.000     1     1     1.0    100  35100 |  100 35101    0.0509    0.0005    0.0005 |
  352.000     1     1     1.0    100  35200 |  100 35201    0.0509    0.0005    0.0005 |
  353.000     1     1     1.0    100  35300 |  100 35301    0.0511    0.0005    0.0005 |
  354.000     1     1     1.0    100  35400 |  100 35401    0.0505    0.0005    0.0005 |
  355.000     1     1     1.0    100  35500 |  100 35501    0.0508    0.0005    0.0005 |
  356.000     1     1     1.0    100  35600 |  100 35601    0.0506    0.0005    0.0005 |
  357.000     1     1     1.0    100  35700 |  100 35701    0.0510    0.0005    0.0005 |
  358.000     1     1     1.0    100  35800 |  100 35801    0.0510    0.0005    0.0005 |
  359.000     1     1     1.0    100  35900 |  100 35901    0.0509    0.0005    0.0005 |
  360.000     1     1     1.0    100  36000 |  100 36001    0.0509    0.0005    0.0005 |
  361.000     1     1     1.0    100  36100 |  100 36101    0.0509    0.0005    0.0005 |
  362.000     1     1     1.0    100  36200 |  100 36201    0.0508    0.0005    0.0005 |
  363.000     1     1     1.0    100  36300 |  100 36301    0.0508    0.0005    0.0005 |
  364.000     1     1     1.0    100  36400 |  100 36401    0.0510    0.0005    0.0005 |
  365.000     1     1     1.0    100  36500 |  100 36501    0.0509    0.0005    0.0005 |
  366.000     1     1     1.0    100  36600 |  100 36601    0.0510    0.0005    0.0005 |
  367.000     1     1     1.0    100  36700 |  100 36701    0.0510    0.0005    0.0005 |
  368.000     1     1     1.0    100  36800 |  100 36801    0.0511    0.0005    0.0005 |
  369.000     1     1     1.0    100  36900 |  100 36901    0.0512    0.0005    0.0005 |
  370.000     1     1     1.0    100  37000 |  100 37001    0.0513    0.0005    0.0005 |
  371.000     1     1     1.0    100  37100 |  100 37101    0.0509    0.0005    0.0005 |
  372.000     1     1     1.0    100  37200 |  100 37201    0.0507    0.0005    0.0005 |
  373.000     1     1     1.0    100  37300 |  100 37301    0.0511    0.0005    0.0005 |
  374.000     1     1     1.0    100  37400 |  100 37401    0.0509    0.0005    0.0005 |
  375.000     1     1     1.0    100  37500 |  100 37501    0.0509    0.0005    0.0005 |
  376.000     1     1     1.0    100  37600 |  100 37601    0.0510    0.0005    0.0005 |
  377.000     1     1     1.0    100  37700 |  100 37701    0.0510    0.0005    0.0005 |
  378.000     1     1     1.0    100  37800 |  100 37801    0.0510    0.0005    0.0005 |
  379.000     1     1     1.0    100  37900 |  100 37901    0.0510    0.0005    0.0005 |
  380.000     1     1     1.0    100  38000 |  100 38001    0.0511    0.0005    0.0005 |
  381.000     1     1     1.0    100  38100 |  100 38101    0.0510    0.0005    0.0005 |
  382.000     1     1     1.0    100  38200 |  100 38201    0.0510    0.0005    0.0005 |
  383.000     1     1     1.0    100  38300 |  100 38301    0.0507    0.0005    0.0005 |
  384.000     1     1     1.0    100  38400 |  100 38401    0.0511    0.0005    0.0005 |
  385.000     1     1     1.0    100  38500 |  100 38501    0.0507    0.0005    0.0005 |
  386.000     1     1     1.0    100  38600 |  100 38601    0.0509    0.0005    0.0005 |
  387.000     1     1     1.0    100  38700 |  100 38701    0.0508    0.0005    0.0005 |
  388.000     1     1     1.0    100  38800 |  100 38801    0.0514    0.0005    0.0005 |
  389.000     1     1     1.0    100  38900 |  100 38901    0.0508    0.0005    0.0005 |
  390.000     1     1     1.0    100  39000 |  100 39001    0.0509    0.0005    0.0005 |
  391.000     1     1     1.0    100  39100 |  100 39101    0.0510    0.0005    0.0005 |
  392.000     1     1     1.0    100  39200 |  100 39201    0.0507    0.0005    0.0005 |
  393.000     1     1     1.0    100  39300 |  100 39301    0.0509    0.0005    0.0005 |
  394.000     1     1     1.0    100  39400 |  100 39401    0.0506    0.0005    0.0005 |
  395.000     1     1     1.0    100  39500 |  100 39501    0.0508    0.0005    0.0005 |
  396.000     1     1     1.0    100  39600 |  100 39601    0.0509    0.0005    0.0005 |
  397.000     1     1     1.0    100  39700 |  100 39701    0.0510    0.0005    0.0005 |
  398.000     1     1     1.0    100  39800 |  100 39801    0.0509    0.0005    0.0005 |
  399.000     1     1     1.0    100  39900 |  100 39901    0.0507    0.0005    0.0005 |
  400.000     1     1     1.0    100  40000 |  100 40001    0.0508    0.0005    0.0005 |
  401.000     1     1     1.0    100  40100 |  100 40101    0.0510    0.0005    0.0005 |
  402.000     1     1     1.0    100  40200 |  100 40201    0.0517    0.0005    0.0005 |
  403.000     1     1     1.0    100  40300 |  100 40301    0.0511    0.0005    0.0005 |
  404.000     1     1     1.0    100  40400 |  100 40401    0.0509    0.0005    0.0005 |
  405.000     1     1     1.0    100  40500 |  100 40501    0.0515    0.0005    0.0005 |
  406.000     1     1     1.0    100  40600 |  100 40601    0.0508    0.0005    0.0005 |
  407.000     1     1     1.0    100  40700 |  100 40701    0.0509    0.0005    0.0005 |
  408.000     1     1     1.0    100  40800 |  100 40801    0.0511    0.0005    0.0005 |
  409.000     1     1     1.0    100  40900 |  100 40901    0.0510    0.0005    0.0005 |
  410.000     1     1     1.0    100  41000 |  100 41001    0.0515    0.0005    0.0005 |
  411.000     1     1     1.0    100  41100 |  100 41101    0.0508    0.0005    0.0005 |
  412.000     1     1     1.0    100  41200 |  100 41201    0.0510    0.0005    0.0005 |
  413.000     1     1     1.0    100  41300 |  100 41301    0.0512    0.0005    0.0005 |
  414.000     1     1     1.0    100  41400 |  100 41401    0.0509    0.0005    0.0005 |
  415.000     1     1     1.0    100  41500 |  100 41501    0.0509    0.0005    0.0005 |
  416.000     1     1     1.0    100  41600 |  100 41601    0.0509    0.0005    0.0005 |
  417.000     1     1     1.0    100  41700 |  100 41701    0.0507    0.0005    0.0005 |
  418.000     1     1     1.0    100  41800 |  100 41801    0.0510    0.0005    0.0005 |
  419.000     1     1     1.0    100  41900 |  100 41901    0.0510    0.0005    0.0005 |
  420.000     1     1     1.0    100  42000 |  100 42001    0.0512    0.0005    0.0005 |
  421.000     1     1     1.0    100  42100 |  100 42101    0.0510    0.0005    0.0005 |
  422.000     1     1     1.0    100  42200 |  100 42201    0.0511    0.0005    0.0005 |
  423.000     1     1     1.0    100  42300 |  100 42301    0.0509    0.0005    0.0005 |
  424.000     1     1     1.0    100  42400 |  100 42401    0.0510    0.0005    0.0005 |
  425.000     1     1     1.0    100  42500 |  100 42501    0.0507    0.0005    0.0005 |
  426.000     1     1     1.0    100  42600 |  100 42601    0.0508    0.0005    0.0005 |
  427.000     1     1     1.0    100  42700 |  100 42701    0.0509    0.0005    0.0005 |
  428.000     1     1     1.0    100  42800 |  100 42801    0.0510    0.0005    0.0005 |
  429.000     1     1     1.0    100  42900 |  100 42901    0.0510    0.0005    0.0005 |
  430.000     1     1     1.0    100  43000 |  100 43001    0.0508    0.0005    0.0005 |
  431.000     1     1     1.0    100  43100 |  100 43101    0.0510    0.0005    0.0005 |
  432.000     1     1     1.0    100  43200 |  100 43201    0.0509    0.0005    0.0005 |
  433.000     1     1     1.0    100  43300 |  100 43301    0.0511    0.0005    0.0005 |
  434.000     1     1     1.0    100  43400 |  100 43401    0.0512    0.0005    0.0005 |
  435.000     1     1     1.0    100  43500 |  100 43501    0.0511    0.0005    0.0005 |
  436.000     1     1     1.0    100  43600 |  100 43601    0.0509    0.0005    0.0005 |
  437.000     1     1     1.0    100  43700 |  100 43701    0.0510    0.0005    0.0005 |
  438.000     1     1     1.0    100  43800 |  100 43801    0.0509    0.0005    0.0005 |
  439.000     1     1     1.0    100  43900 |  100 43901    0.0509    0.0005    0.0005 |
  440.000     1     1     1.0    100  44000 |  100 44001    0.0508    0.0005    0.0005 |
  441.000     1     1     1.0    100  44100 |  100 44101    0.0509    0.0005    0.0005 |
  442.000     1     1     1.0    100  44200 |  100 44201    0.0508    0.0005    0.0005 |
  443.000     1     1     1.0    100  44300 |  100 44301    0.0510    0.0005    0.0005 |
  444.000     1     1     1.0    100  44400 |  100 44401    0.0510    0.0005    0.0005 |
  445.000     1     1     1.0    100  44500 |  100 44501    0.0509    0.0005    0.0005 |
  446.000     1     1     1.0    100  44600 |  100 44601    0.0507    0.0005    0.0005 |
  447.000     1     1     1.0    100  44700 |  100 44701    0.0508    0.0005    0.0005 |
  448.000     1     1     1.0    100  44800 |  100 44801    0.0508    0.0005    0.0005 |
  449.000     1     1     1.0    100  44900 |  100 44901    0.0509    0.0005    0.0005 |
  450.000     1     1     1.0    100  45000 |  100 45001    0.0509    0.0005    0.0005 |
  451.000     1     1     1.0    100  45100 |  100 45101    0.0509    0.0005    0.0005 |
  452.000     1     1     1.0    100  45200 |  100 45201    0.0509    0.0005    0.0005 |
  453.000     1     1     1.0    100  45300 |  100 45301    0.0516    0.0005    0.0005 |
  454.000     1     1     1.0    100  45400 |  100 45401    0.0509    0.0005    0.0005 |
  455.000     1     1     1.0    100  45500 |  100 45501    0.0510    0.0005    0.0005 |
  456.000     1     1     1.0    100  45600 |  100 45601    0.0509    0.0005    0.0005 |
  457.000     1     1     1.0    100  45700 |  100 45701    0.0510    0.0005    0.0005 |
  458.000     1     1     1.0    100  45800 |  100 45801    0.0508    0.0005    0.0005 |
  459.000     1     1     1.0    100  45900 |  100 45901    0.0510    0.0005    0.0005 |
  460.000     1     1     1.0    100  46000 |  100 46001    0.0507    0.0005    0.0005 |
  461.000     1     1     1.0    100  46100 |  100 46101    0.0509    0.0005    0.0005 |
  462.000     1     1     1.0    100  46200 |  100 46201    0.0507    0.0005    0.0005 |
  463.000     1     1     1.0    100  46300 |  100 46301    0.0509    0.0005    0.0005 |
  464.000     1     1     1.0    100  46400 |  100 46401    0.0510    0.0005    0.0005 |
  465.000     1     1     1.0    100  46500 |  100 46501    0.0508    0.0005    0.0005 |
  466.000     1     1     1.0    100  46600 |  100 46601    0.0509    0.0005    0.0005 |
  467.000     1     1     1.0    100  46700 |  100 46701    0.0509    0.0005    0.0005 |
  468.000     1     1     1.0    100  46800 |  100 46801    0.0509    0.0005    0.0005 |
  469.000     1     1     1.0    100  46900 |  100 46901    0.0510    0.0005    0.0005 |
  470.000     1     1     1.0    100  47000 |  100 47001    0.0509    0.0005    0.0005 |
  471.000     1     1     1.0    100  47100 |  100 47101    0.0511    0.0005    0.0005 |
  472.000     1     1     1.0    100  47200 |  100 47201    0.0510    0.0005    0.0005 |
  473.000     1     1     1.0    100  47300 |  100 47301    0.0510    0.0005    0.0005 |
  474.000     1     1     1.0    100  47400 |  100 47401    0.0508    0.0005    0.0005 |
  475.000     1     1     1.0    100  47500 |  100 47501    0.0509    0.0005    0.0005 |
  476.000     1     1     1.0    100  47600 |  100 47601    0.0508    0.0005    0.0005 |
  477.000     1     1     1.0    100  47700 |  100 47701    0.0509    0.0005    0.0005 |
  478.000     1     1     1.0    100  47800 |  100 47801    0.0509    0.0005    0.0005 |
  479.000     1     1     1.0    100  47900 |  100 47901    0.0510    0.0005    0.0005 |
  480.000     1     1     1.0    100  48000 |  100 48001    0.0509    0.0005    0.0005 |
  481.000     1     1     1.0    100  48100 |  100 48101    0.0512    0.0005    0.0005 |
  482.000     1     1     1.0    100  48200 |  100 48201    0.0511    0.0005    0.0005 |
  483.000     1     1     1.0    100  48300 |  100 48301    0.0511    0.0005    0.0005 |
  484.000     1     1     1.0    100  48400 |  100 48401    0.0514    0.0005    0.0005 |
  485.000     1     1     1.0    100  48500 |  100 48501    0.0517    0.0005    0.0005 |
  486.000     1     1     1.0    100  48600 |  100 48601    0.0515    0.0005    0.0005 |
  487.000     1     1     1.0    100  48700 |  100 48701    0.0513    0.0005    0.0005 |
  488.000     1     1     1.0    100  48800 |  100 48801    0.0513    0.0005    0.0005 |
  489.000     1     1     1.0    100  48900 |  100 48901    0.0514    0.0005    0.0005 |
  490.000     1     1     1.0    100  49000 |  100 49001    0.0510    0.0005    0.0005 |
  491.000     1     1     1.0    100  49100 |  100 49101    0.0509    0.0005    0.0005 |
  492.000     1     1     1.0    100  49200 |  100 49201    0.0509    0.0005    0.0005 |
  493.000     1     1     1.0    100  49300 |  100 49301    0.0509    0.0005    0.0005 |
  494.000     1     1     1.0    100  49400 |  100 49401    0.0511    0.0005    0.0005 |
  495.000     1     1     1.0    100  49500 |  100 49501    0.0513    0.0005    0.0005 |
  496.000     1     1     1.0    100  49600 |  100 49601    0.0510    0.0005    0.0005 |
  497.000     1     1     1.0    100  49700 |  100 49701    0.0512    0.0005    0.0005 |
  498.000     1     1     1.0    100  49800 |  100 49801    0.0518    0.0005    0.0005 |
  499.000     1     1     1.0    100  49900 |  100 49901    0.0536    0.0005    0.0005 |
  500.000     1     1     1.0    100  50000 |  100 50001    0.0539    0.0005    0.0005 |
  501.000     1     1     1.0    100  50100 |  100 50101    0.0534    0.0005    0.0005 |
  502.000     1     1     1.0    100  50200 |  100 50201    0.0525    0.0005    0.0005 |
  503.000     1     1     1.0    100  50300 |  100 50301    0.0529    0.0005    0.0005 |
  504.000     1     1     1.0    100  50400 |  100 50401    0.0524    0.0005    0.0005 |
  505.000     1     1     1.0    100  50500 |  100 50501    0.0524    0.0005    0.0005 |
  506.000     1     1     1.0    100  50600 |  100 50601    0.0535    0.0005    0.0005 |
  507.000     1     1     1.0    100  50700 |  100 50701    0.0525    0.0005    0.0005 |
  508.000     1     1     1.0    100  50800 |  100 50801    0.0522    0.0005    0.0005 |
  509.000     1     1     1.0    100  50900 |  100 50901    0.0513    0.0005    0.0005 |
  510.000     1     1     1.0    100  51000 |  100 51001    0.0509    0.0005    0.0005 |
  511.000     1     1     1.0    100  51100 |  100 51101    0.0523    0.0005    0.0005 |
  512.000     1     1     1.0    100  51200 |  100 51201    0.0509    0.0005    0.0005 |
  513.000     1     1     1.0    100  51300 |  100 51301    0.0510    0.0005    0.0005 |
  514.000     1     1     1.0    100  51400 |  100 51401    0.0509    0.0005    0.0005 |
  515.000     1     1     1.0    100  51500 |  100 51501    0.0509    0.0005    0.0005 |
  516.000     1     1     1.0    100  51600 |  100 51601    0.0508    0.0005    0.0005 |
  517.000     1     1     1.0    100  51700 |  100 51701    0.0509    0.0005    0.0005 |
  518.000     1     1     1.0    100  51800 |  100 51801    0.0507    0.0005    0.0005 |
  519.000     1     1     1.0    100  51900 |  100 51901    0.0520    0.0005    0.0005 |
  520.000     1     1     1.0    100  52000 |  100 52001    0.0529    0.0005    0.0005 |
  521.000     1     1     1.0    100  52100 |  100 52101    0.0533    0.0005    0.0005 |
  522.000     1     1     1.0    100  52200 |  100 52201    0.0528    0.0005    0.0005 |
  523.000     1     1     1.0    100  52300 |  100 52301    0.0535    0.0005    0.0005 |
  524.000     1     1     1.0    100  52400 |  100 52401    0.0543    0.0005    0.0005 |
  525.000     1     1     1.0    100  52500 |  100 52501    0.0521    0.0005    0.0005 |
  526.000     1     1     1.0    100  52600 |  100 52601    0.0526    0.0005    0.0005 |
  527.000     1     1     1.0    100  52700 |  100 52701    0.0521    0.0005    0.0005 |
  528.000     1     1     1.0    100  52800 |  100 52801    0.0509    0.0005    0.0005 |
  529.000     1     1     1.0    100  52900 |  100 52901    0.0509    0.0005    0.0005 |
  530.000     1     1     1.0    100  53000 |  100 53001    0.0509    0.0005    0.0005 |
  531.000     1     1     1.0    100  53100 |  100 53101    0.0510    0.0005    0.0005 |
  532.000     1     1     1.0    100  53200 |  100 53201    0.0509    0.0005    0.0005 |
  533.000     1     1     1.0    100  53300 |  100 53301    0.0510    0.0005    0.0005 |
  534.000     1     1     1.0    100  53400 |  100 53401    0.0509    0.0005    0.0005 |
  535.000     1     1     1.0    100  53500 |  100 53501    0.0511    0.0005    0.0005 |
  536.000     1     1     1.0    100  53600 |  100 53601    0.0509    0.0005    0.0005 |
  537.000     1     1     1.0    100  53700 |  100 53701    0.0510    0.0005    0.0005 |
  538.000     1     1     1.0    100  53800 |  100 53801    0.0509    0.0005    0.0005 |
  539.000     1     1     1.0    100  53900 |  100 53901    0.0509    0.0005    0.0005 |
  540.000     1     1     1.0    100  54000 |  100 54001    0.0509    0.0005    0.0005 |
  541.000     1     1     1.0    100  54100 |  100 54101    0.0509    0.0005    0.0005 |
  542.000     1     1     1.0    100  54200 |  100 54201    0.0510    0.0005    0.0005 |
  543.000     1     1     1.0    100  54300 |  100 54301    0.0508    0.0005    0.0005 |
  544.000     1     1     1.0    100  54400 |  100 54401    0.0508    0.0005    0.0005 |
  545.000     1     1     1.0    100  54500 |  100 54501    0.0509    0.0005    0.0005 |
  546.000     1     1     1.0    100  54600 |  100 54601    0.0509    0.0005    0.0005 |
  547.000     1     1     1.0    100  54700 |  100 54701    0.0508    0.0005    0.0005 |
  548.000     1     1     1.0    100  54800 |  100 54801    0.0510    0.0005    0.0005 |
  549.000     1     1     1.0    100  54900 |  100 54901    0.0508    0.0005    0.0005 |
  550.000     1     1     1.0    100  55000 |  100 55001    0.0508    0.0005    0.0005 |
  551.000     1     1     1.0    100  55100 |  100 55101    0.0509    0.0005    0.0005 |
  552.000     1     1     1.0    100  55200 |  100 55201    0.0510    0.0005    0.0005 |
  553.000     1     1     1.0    100  55300 |  100 55301    0.0508    0.0005    0.0005 |
  554.000     1     1     1.0    100  55400 |  100 55401    0.0508    0.0005    0.0005 |
  555.000     1     1     1.0    100  55500 |  100 55501    0.0508    0.0005    0.0005 |
  556.000     1     1     1.0    100  55600 |  100 55601    0.0508    0.0005    0.0005 |
  557.000     1     1     1.0    100  55700 |  100 55701    0.0509    0.0005    0.0005 |
  558.000     1     1     1.0    100  55800 |  100 55801    0.0508    0.0005    0.0005 |
  559.000     1     1     1.0    100  55900 |  100 55901    0.0508    0.0005    0.0005 |
  560.000     1     1     1.0    100  56000 |  100 56001    0.0507    0.0005    0.0005 |
  561.000     1     1     1.0    100  56100 |  100 56101    0.0510    0.0005    0.0005 |
  562.000     1     1     1.0    100  56200 |  100 56201    0.0508    0.0005    0.0005 |
  563.000     1     1     1.0    100  56300 |  100 56301    0.0511    0.0005    0.0005 |
  564.000     1     1     1.0    100  56400 |  100 56401    0.0509    0.0005    0.0005 |
  565.000     1     1     1.0    100  56500 |  100 56501    0.0508    0.0005    0.0005 |
  566.000     1     1     1.0    100  56600 |  100 56601    0.0508    0.0005    0.0005 |
  567.000     1     1     1.0    100  56700 |  100 56701    0.0508    0.0005    0.0005 |
  568.000     1     1     1.0    100  56800 |  100 56801    0.0508    0.0005    0.0005 |
  569.000     1     1     1.0    100  56900 |  100 56901    0.0509    0.0005    0.0005 |
  570.000     1     1     1.0    100  57000 |  100 57001    0.0509    0.0005    0.0005 |
  571.000     1     1     1.0    100  57100 |  100 57101    0.0508    0.0005    0.0005 |
  572.000     1     1     1.0    100  57200 |  100 57201    0.0508    0.0005    0.0005 |
  573.000     1     1     1.0    100  57300 |  100 57301    0.0510    0.0005    0.0005 |
  574.000     1     1     1.0    100  57400 |  100 57401    0.0508    0.0005    0.0005 |
  575.000     1     1     1.0    100  57500 |  100 57501    0.0508    0.0005    0.0005 |
  576.000     1     1     1.0    100  57600 |  100 57601    0.0514    0.0005    0.0005 |
  577.000     1     1     1.0    100  57700 |  100 57701    0.0510    0.0005    0.0005 |
  578.000     1     1     1.0    100  57800 |  100 57801    0.0510    0.0005    0.0005 |
  579.000     1     1     1.0    100  57900 |  100 57901    0.0508    0.0005    0.0005 |
  580.000     1     1     1.0    100  58000 |  100 58001    0.0508    0.0005    0.0005 |
  581.000     1     1     1.0    100  58100 |  100 58101    0.0509    0.0005    0.0005 |
  582.000     1     1     1.0    100  58200 |  100 58201    0.0509    0.0005    0.0005 |
  583.000     1     1     1.0    100  58300 |  100 58301    0.0508    0.0005    0.0005 |
  584.000     1     1     1.0    100  58400 |  100 58401    0.0508    0.0005    0.0005 |
  585.000     1     1     1.0    100  58500 |  100 58501    0.0509    0.0005    0.0005 |
  586.000     1     1     1.0    100  58600 |  100 58601    0.0507    0.0005    0.0005 |
  587.000     1     1     1.0    100  58700 |  100 58701    0.0507    0.0005    0.0005 |
  588.000     1     1     1.0    100  58800 |  100 58801    0.0509    0.0005    0.0005 |
  589.000     1     1     1.0    100  58900 |  100 58901    0.0508    0.0005    0.0005 |
  590.000     1     1     1.0    100  59000 |  100 59001    0.0508    0.0005    0.0005 |
  591.000     1     1     1.0    100  59100 |  100 59101    0.0507    0.0005    0.0005 |
  592.000     1     1     1.0    100  59200 |  100 59201    0.0509    0.0005    0.0005 |
  593.000     1     1     1.0    100  59300 |  100 59301    0.0507    0.0005    0.0005 |
  594.000     1     1     1.0    100  59400 |  100 59401    0.0508    0.0005    0.0005 |
  595.000     1     1     1.0    100  59500 |  100 59501    0.0508    0.0005    0.0005 |
  596.000     1     1     1.0    100  59600 |  100 59601    0.0507    0.0005    0.0005 |
  597.000     1     1     1.0    100  59700 |  100 59701    0.0509    0.0005    0.0005 |
  598.000     1     1     1.0    100  59800 |  100 59801    0.0517    0.0005    0.0005 |
  599.000     1     1     1.0    100  59900 |  100 59901    0.0508    0.0005    0.0005 |
  600.000     1     1     1.0    100  60000 |  100 60001    0.0508    0.0005    0.0005 |
  601.000     1     1     1.0    100  60100 |  100 60101    0.0507    0.0005    0.0005 |
  602.000     1     1     1.0    100  60200 |  100 60201    0.0508    0.0005    0.0005 |
  603.000     1     1     1.0    100  60300 |  100 60301    0.0507    0.0005    0.0005 |
  604.000     1     1     1.0    100  60400 |  100 60401    0.0507    0.0005    0.0005 |
  605.000     1     1     1.0    100  60500 |  100 60501    0.0509    0.0005    0.0005 |
  606.000     1     1     1.0    100  60600 |  100 60601    0.0508    0.0005    0.0005 |
  607.000     1     1     1.0    100  60700 |  100 60701    0.0510    0.0005    0.0005 |
  608.000     1     1     1.0    100  60800 |  100 60801    0.0508    0.0005    0.0005 |
  609.000     1     1     1.0    100  60900 |  100 60901    0.0509    0.0005    0.0005 |
  610.000     1     1     1.0    100  61000 |  100 61001    0.0507    0.0005    0.0005 |
  611.000     1     1     1.0    100  61100 |  100 61101    0.0509    0.0005    0.0005 |
  612.000     1     1     1.0    100  61200 |  100 61201    0.0508    0.0005    0.0005 |
  613.000     1     1     1.0    100  61300 |  100 61301    0.0507    0.0005    0.0005 |
  614.000     1     1     1.0    100  61400 |  100 61401    0.0508    0.0005    0.0005 |
  615.000     1     1     1.0    100  61500 |  100 61501    0.0509    0.0005    0.0005 |
  616.000     1     1     1.0    100  61600 |  100 61601    0.0509    0.0005    0.0005 |
  617.000     1     1     1.0    100  61700 |  100 61701    0.0508    0.0005    0.0005 |
  618.000     1     1     1.0    100  61800 |  100 61801    0.0509    0.0005    0.0005 |
  619.000     1     1     1.0    100  61900 |  100 61901    0.0508    0.0005    0.0005 |
  620.000     1     1     1.0    100  62000 |  100 62001    0.0508    0.0005    0.0005 |
  621.000     1     1     1.0    100  62100 |  100 62101    0.0516    0.0005    0.0005 |
  622.000     1     1     1.0    100  62200 |  100 62201    0.0514    0.0005    0.0005 |
  623.000     1     1     1.0    100  62300 |  100 62301    0.0510    0.0005    0.0005 |
  624.000     1     1     1.0    100  62400 |  100 62401    0.0508    0.0005    0.0005 |
  625.000     1     1     1.0    100  62500 |  100 62501    0.0508    0.0005    0.0005 |
  626.000     1     1     1.0    100  62600 |  100 62601    0.0508    0.0005    0.0005 |
  627.000     1     1     1.0    100  62700 |  100 62701    0.0509    0.0005    0.0005 |
  628.000     1     1     1.0    100  62800 |  100 62801    0.0510    0.0005    0.0005 |
  629.000     1     1     1.0    100  62900 |  100 62901    0.0509    0.0005    0.0005 |
  630.000     1     1     1.0    100  63000 |  100 63001    0.0509    0.0005    0.0005 |
  631.000     1     1     1.0    100  63100 |  100 63101    0.0509    0.0005    0.0005 |
  632.000     1     1     1.0    100  63200 |  100 63201    0.0508    0.0005    0.0005 |
  633.000     1     1     1.0    100  63300 |  100 63301    0.0509    0.0005    0.0005 |
  634.000     1     1     1.0    100  63400 |  100 63401    0.0508    0.0005    0.0005 |
  635.000     1     1     1.0    100  63500 |  100 63501    0.0511    0.0005    0.0005 |
  636.000     1     1     1.0    100  63600 |  100 63601    0.0511    0.0005    0.0005 |
  637.000     1     1     1.0    100  63700 |  100 63701    0.0513    0.0005    0.0005 |
  638.000     1     1     1.0    100  63800 |  100 63801    0.0512    0.0005    0.0005 |
  639.000     1     1     1.0    100  63900 |  100 63901    0.0513    0.0005    0.0005 |
  640.000     1     1     1.0    100  64000 |  100 64001    0.0510    0.0005    0.0005 |
  641.000     1     1     1.0    100  64100 |  100 64101    0.0510    0.0005    0.0005 |
  642.000     1     1     1.0    100  64200 |  100 64201    0.0508    0.0005    0.0005 |
  643.000     1     1     1.0    100  64300 |  100 64301    0.0509    0.0005    0.0005 |
  644.000     1     1     1.0    100  64400 |  100 64401    0.0510    0.0005    0.0005 |
  645.000     1     1     1.0    100  64500 |  100 64501    0.0510    0.0005    0.0005 |
  646.000     1     1     1.0    100  64600 |  100 64601    0.0509    0.0005    0.0005 |
  647.000     1     1     1.0    100  64700 |  100 64701    0.0510    0.0005    0.0005 |
  648.000     1     1     1.0    100  64800 |  100 64801    0.0511    0.0005    0.0005 |
  649.000     1     1     1.0    100  64900 |  100 64901    0.0508    0.0005    0.0005 |
  650.000     1     1     1.0    100  65000 |  100 65001    0.0510    0.0005    0.0005 |
  651.000     1     1     1.0    100  65100 |  100 65101    0.0509    0.0005    0.0005 |
  652.000     1     1     1.0    100  65200 |  100 65201    0.0518    0.0005    0.0005 |
  653.000     1     1     1.0    100  65300 |  100 65301    0.0510    0.0005    0.0005 |
  654.000     1     1     1.0    100  65400 |  100 65401    0.0514    0.0005    0.0005 |
  655.000     1     1     1.0    100  65500 |  100 65501    0.0510    0.0005    0.0005 |
  656.000     1     1     1.0    100  65600 |  100 65601    0.0511    0.0005    0.0005 |
  657.000     1     1     1.0    100  65700 |  100 65701    0.0509    0.0005    0.0005 |
