          ----- ----- | --------- --------- |
  137.000     1   138 |    0.0010    0.0349 |
  138.000     1   139 |    0.0002    0.0350 |
  139.000     1   140 |    0.0002    0.0352 |
  140.000     1   141 |    0.0002    0.0354 |
  141.000     1   142 |    0.0002    0.0356 |
  142.000     1   143 |    0.0002    0.0358 |
  143.000     1   144 |    0.0002    0.0359 |
  144.000     1   145 |    0.0002    0.0361 |
  145.000     1   146 |    0.0003    0.0365 |
  146.000     1   147 |    0.0002    0.0367 |
  147.000     1   148 |    0.0002    0.0369 |
  148.000     1   149 |    0.0002    0.0371 |
  149.000     1   150 |    0.0002    0.0372 |
  150.000     1   151 |    0.0002    0.0374 |
  151.000     1   152 |    0.0002    0.0376 |
  152.000     1   153 |    0.0002    0.0378 |
  153.000     1   154 |    0.0002    0.0380 |
  154.000     1   155 |    0.0002    0.0382 |
  155.000     1   156 |    0.0002    0.0384 |
  156.000     1   157 |    0.0002    0.0386 |
  157.000     1   158 |    0.0002    0.0388 |
  158.000     1   159 |    0.0002    0.0390 |
  159.000     1   160 |    0.0002    0.0392 |
  160.000     1   161 |    0.0002    0.0394 |
  161.000     1   162 |    0.0003    0.0397 |
  162.000     1   163 |    0.0003    0.0399 |
  163.000     1   164 |    0.0003    0.0402 |
  164.000     1   165 |    0.0002    0.0404 |
  165.000     1   166 |    0.0002    0.0407 |
  166.000     1   167 |    0.0002    0.0409 |
  167.000     1   168 |    0.0002    0.0411 |
  168.000     1   169 |    0.0003    0.0414 |
  169.000     1   170 |    0.0002    0.0416 |
  170.000     1   171 |    0.0002    0.0417 |
  171.000     1   172 |    0.0005    0.0422 |
  172.000     1   173 |    0.0005    0.0427 |
  173.000     1   174 |    0.0004    0.0431 |
  174.000     1   175 |    0.0003    0.0434 |
  175.000     1   176 |    0.0002    0.0436 |
  176.000     1   177 |    0.0004    0.0440 |
  177.000     1   178 |    0.0003    0.0442 |
  178.000     1   179 |    0.0004    0.0447 |
  179.000     1   180 |    0.0003    0.0450 |
  180.000     1   181 |    0.0003    0.0453 |
  181.000     1   182 |    0.0003    0.0456 |
  182.000     1   183 |    0.0003    0.0459 |
  183.000     1   184 |    0.0002    0.0461 |
  184.000     1   185 |    0.0003    0.0464 |
  185.000     1   186 |    0.0003    0.0468 |
  186.000     1   187 |    0.0003    0.0471 |
  187.000     1   188 |    0.0004    0.0475 |
  188.000     1   189 |    0.0004    0.0479 |
  189.000     1   190 |    0.0004    0.0483 |
  190.000     1   191 |    0.0003    0.0485 |
  191.000     1   192 |    0.0003    0.0488 |
  192.000     1   193 |    0.0006    0.0494 |
  193.000     1   194 |    0.0003    0.0496 |
  194.000     1   195 |    0.0002    0.0499 |
  195.000     1   196 |    0.0002    0.0501 |
  196.000     1   197 |    0.0003    0.0504 |
  197.000     1   198 |    0.0002    0.0506 |
  198.000     1   199 |    0.0003    0.0509 |
  199.000     1   200 |    0.0003    0.0512 |
  200.000     1   201 |    0.0003    0.0515 |
  201.000     1   202 |    0.0003    0.0518 |
  202.000     1   203 |    0.0003    0.0521 |
  203.000     1   204 |    0.0003    0.0523 |
  204.000     1   205 |    0.0003    0.0526 |
  205.000     1   206 |    0.0003    0.0529 |
  206.000     1   207 |    0.0003    0.0532 |
  207.000     1   208 |    0.0003    0.0534 |
  208.000     1   209 |    0.0004    0.0538 |
  209.000     1   210 |    0.0003    0.0541 |
  210.000     1   211 |    0.0003    0.0544 |
  211.000     1   212 |    0.0003    0.0547 |
  212.000     1   213 |    0.0002    0.0549 |
  213.000     1   214 |    0.0002    0.0551 |
  214.000     1   215 |    0.0003    0.0554 |
  215.000     1   216 |    0.0003    0.0557 |
  216.000     1   217 |    0.0004    0.0561 |
  217.000     1   218 |    0.0002    0.0563 |
  218.000     1   219 |    0.0002    0.0566 |
  219.000     1   220 |    0.0002    0.0568 |
  220.000     1   221 |    0.0002    0.0570 |
  221.000     1   222 |    0.0002    0.0571 |
  222.000     1   223 |    0.0002    0.0573 |
  223.000     1   224 |    0.0002    0.0576 |
  224.000     1   225 |    0.0012    0.0587 |
  225.000     1   226 |    0.0002    0.0590 |
  226.000     1   227 |    0.0002    0.0591 |
  227.000     1   228 |    0.0002    0.0593 |
  228.000     1   229 |    0.0002    0.0595 |
  229.000     1   230 |    0.0002    0.0596 |
  230.000     1   231 |    0.0002    0.0598 |
