          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  311.000     1     1     1.0   1000 311000 | 1000 311001    0.5092    0.0005    0.0005 |
  312.000     1     1     1.0   1000 312000 | 1000 312001    0.5102    0.0005    0.0005 |
  313.000     1     1     1.0   1000 313000 | 1000 313001    0.5436    0.0005    0.0005 |
  314.000     1     1     1.0   1000 314000 | 1000 314001    0.5110    0.0005    0.0005 |
  315.000     1     1     1.0   1000 315000 | 1000 315001    0.5111    0.0005    0.0005 |
  316.000     1     1     1.0   1000 316000 | 1000 316001    0.5110    0.0005    0.0005 |
  317.000     1     1     1.0   1000 317000 | 1000 317001    0.5095    0.0005    0.0005 |
  318.000     1     1     1.0   1000 318000 | 1000 318001    0.5084    0.0005    0.0005 |
  319.000     1     1     1.0   1000 319000 | 1000 319001    0.5097    0.0005    0.0005 |
  320.000     1     1     1.0   1000 320000 | 1000 320001    0.5098    0.0005    0.0005 |
  321.000     1     1     1.0   1000 321000 | 1000 321001    0.5093    0.0005    0.0005 |
  322.000     1     1     1.0   1000 322000 | 1000 322001    0.5118    0.0005    0.0005 |
  323.000     1     1     1.0   1000 323000 | 1000 323001    0.5083    0.0005    0.0005 |
  324.000     1     1     1.0   1000 324000 | 1000 324001    0.5084    0.0005    0.0005 |
  325.000     1     1     1.0   1000 325000 | 1000 325001    0.5088    0.0005    0.0005 |
  326.000     1     1     1.0   1000 326000 | 1000 326001    0.5089    0.0005    0.0005 |
  327.000     1     1     1.0   1000 327000 | 1000 327001    0.5081    0.0005    0.0005 |
  328.000     1     1     1.0   1000 328000 | 1000 328001    0.5090    0.0005    0.0005 |
  329.000     1     1     1.0   1000 329000 | 1000 329001    0.5085    0.0005    0.0005 |
  330.000     1     1     1.0   1000 330000 | 1000 330001    0.5085    0.0005    0.0005 |
  331.000     1     1     1.0   1000 331000 | 1000 331001    0.5088    0.0005    0.0005 |
  332.000     1     1     1.0   1000 332000 | 1000 332001    0.5090    0.0005    0.0005 |
  333.000     1     1     1.0   1000 333000 | 1000 333001    0.5093    0.0005    0.0005 |
  334.000     1     1     1.0   1000 334000 | 1000 334001    0.5093    0.0005    0.0005 |
  335.000     1     1     1.0   1000 335000 | 1000 335001    0.5091    0.0005    0.0005 |
  336.000     1     1     1.0   1000 336000 | 1000 336001    0.5097    0.0005    0.0005 |
  337.000     1     1     1.0   1000 337000 | 1000 337001    0.5097    0.0005    0.0005 |
  338.000     1     1     1.0   1000 338000 | 1000 338001    0.5087    0.0005    0.0005 |
  339.000     1     1     1.0   1000 339000 | 1000 339001    0.5228    0.0005    0.0005 |
  340.000     1     1     1.0   1000 340000 | 1000 340001    0.5085    0.0005    0.0005 |
  341.000     1     1     1.0   1000 341000 | 1000 341001    0.5092    0.0005    0.0005 |
  342.000     1     1     1.0   1000 342000 | 1000 342001    0.5096    0.0005    0.0005 |
  343.000     1     1     1.0   1000 343000 | 1000 343001    0.5092    0.0005    0.0005 |
  344.000     1     1     1.0   1000 344000 | 1000 344001    0.5084    0.0005    0.0005 |
  345.000     1     1     1.0   1000 345000 | 1000 345001    0.5088    0.0005    0.0005 |
  346.000     1     1     1.0   1000 346000 | 1000 346001    0.5090    0.0005    0.0005 |
  347.000     1     1     1.0   1000 347000 | 1000 347001    0.5093    0.0005    0.0005 |
  348.000     1     1     1.0   1000 348000 | 1000 348001    0.5096    0.0005    0.0005 |
  349.000     1     1     1.0   1000 349000 | 1000 349001    0.5085    0.0005    0.0005 |
  350.000     1     1     1.0   1000 350000 | 1000 350001    0.5086    0.0005    0.0005 |
  351.000     1     1     1.0   1000 351000 | 1000 351001    0.5103    0.0005    0.0005 |
  352.000     1     1     1.0   1000 352000 | 1000 352001    0.5092    0.0005    0.0005 |
  353.000     1     1     1.0   1000 353000 | 1000 353001    0.5095    0.0005    0.0005 |
  354.000     1     1     1.0   1000 354000 | 1000 354001    0.5097    0.0005    0.0005 |
  355.000     1     1     1.0   1000 355000 | 1000 355001    0.5090    0.0005    0.0005 |
  356.000     1     1     1.0   1000 356000 | 1000 356001    0.5093    0.0005    0.0005 |
  357.000     1     1     1.0   1000 357000 | 1000 357001    0.5088    0.0005    0.0005 |
  358.000     1     1     1.0   1000 358000 | 1000 358001    0.5089    0.0005    0.0005 |
  359.000     1     1     1.0   1000 359000 | 1000 359001    0.5093    0.0005    0.0005 |
  360.000     1     1     1.0   1000 360000 | 1000 360001    0.5098    0.0005    0.0005 |
