          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
   71.000     1     1     1.0   1000  71000 | 1000 71001    0.5090    0.0005    0.0005 |
   72.000     1     1     1.0   1000  72000 | 1000 72001    0.5071    0.0005    0.0005 |
   73.000     1     1     1.0   1000  73000 | 1000 73001    0.5055    0.0005    0.0005 |
   74.000     1     1     1.0   1000  74000 | 1000 74001    0.5009    0.0005    0.0005 |
   75.000     1     1     1.0   1000  75000 | 1000 75001    0.5062    0.0005    0.0005 |
   76.000     1     1     1.0   1000  76000 | 1000 76001    0.5086    0.0005    0.0005 |
   77.000     1     1     1.0   1000  77000 | 1000 77001    0.5050    0.0005    0.0005 |
   78.000     1     1     1.0   1000  78000 | 1000 78001    0.5019    0.0005    0.0005 |
   79.000     1     1     1.0   1000  79000 | 1000 79001    0.5006    0.0005    0.0005 |
   80.000     1     1     1.0   1000  80000 | 1000 80001    0.4994    0.0005    0.0005 |
   81.000     1     1     1.0   1000  81000 | 1000 81001    0.5030    0.0005    0.0005 |
   82.000     1     1     1.0   1000  82000 | 1000 82001    0.5024    0.0005    0.0005 |
   83.000     1     1     1.0   1000  83000 | 1000 83001    0.5038    0.0005    0.0005 |
   84.000     1     1     1.0   1000  84000 | 1000 84001    0.5051    0.0005    0.0005 |
   85.000     1     1     1.0   1000  85000 | 1000 85001    0.5063    0.0005    0.0005 |
   86.000     1     1     1.0   1000  86000 | 1000 86001    0.5098    0.0005    0.0005 |
   87.000     1     1     1.0   1000  87000 | 1000 87001    0.5010    0.0005    0.0005 |
   88.000     1     1     1.0   1000  88000 | 1000 88001    0.5092    0.0005    0.0005 |
   89.000     1     1     1.0   1000  89000 | 1000 89001    0.5011    0.0005    0.0005 |
   90.000     1     1     1.0   1000  90000 | 1000 90001    0.5061    0.0005    0.0005 |
   91.000     1     1     1.0   1000  91000 | 1000 91001    0.5086    0.0005    0.0005 |
   92.000     1     1     1.0   1000  92000 | 1000 92001    0.5049    0.0005    0.0005 |
   93.000     1     1     1.0   1000  93000 | 1000 93001    0.5067    0.0005    0.0005 |
   94.000     1     1     1.0   1000  94000 | 1000 94001    0.5085    0.0005    0.0005 |
   95.000     1     1     1.0   1000  95000 | 1000 95001    0.5068    0.0005    0.0005 |
   96.000     1     1     1.0   1000  96000 | 1000 96001    0.5067    0.0005    0.0005 |
   97.000     1     1     1.0   1000  97000 | 1000 97001    0.5062    0.0005    0.0005 |
   98.000     1     1     1.0   1000  98000 | 1000 98001    0.5072    0.0005    0.0005 |
   99.000     1     1     1.0   1000  99000 | 1000 99001    0.5084    0.0005    0.0005 |
  100.000     1     1     1.0   1000 100000 | 1000 100001    0.5107    0.0005    0.0005 |
  101.000     1     1     1.0   1000 101000 | 1000 101001    0.5078    0.0005    0.0005 |
  102.000     1     1     1.0   1000 102000 | 1000 102001    0.5094    0.0005    0.0005 |
  103.000     1     1     1.0   1000 103000 | 1000 103001    0.5089    0.0005    0.0005 |
  104.000     1     1     1.0   1000 104000 | 1000 104001    0.5084    0.0005    0.0005 |
  105.000     1     1     1.0   1000 105000 | 1000 105001    0.5079    0.0005    0.0005 |
  106.000     1     1     1.0   1000 106000 | 1000 106001    0.5091    0.0005    0.0005 |
  107.000     1     1     1.0   1000 107000 | 1000 107001    0.5238    0.0005    0.0005 |
  108.000     1     1     1.0   1000 108000 | 1000 108001    0.5084    0.0005    0.0005 |
  109.000     1     1     1.0   1000 109000 | 1000 109001    0.5094    0.0005    0.0005 |
  110.000     1     1     1.0   1000 110000 | 1000 110001    0.5090    0.0005    0.0005 |
  111.000     1     1     1.0   1000 111000 | 1000 111001    0.5080    0.0005    0.0005 |
  112.000     1     1     1.0   1000 112000 | 1000 112001    0.5077    0.0005    0.0005 |
  113.000     1     1     1.0   1000 113000 | 1000 113001    0.5083    0.0005    0.0005 |
  114.000     1     1     1.0   1000 114000 | 1000 114001    0.5070    0.0005    0.0005 |
  115.000     1     1     1.0   1000 115000 | 1000 115001    0.5093    0.0005    0.0005 |
  116.000     1     1     1.0   1000 116000 | 1000 116001    0.5086    0.0005    0.0005 |
