          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  126.000  1000 126001 |    0.0363    4.5061 |
  127.000  1000 127001 |    0.0363    4.5424 |
  128.000  1000 128001 |    0.0365    4.5790 |
  129.000  1000 129001 |    0.0365    4.6154 |
  130.000  1000 130001 |    0.0364    4.6518 |
  131.000  1000 131001 |    0.0362    4.6881 |
  132.000  1000 132001 |    0.0365    4.7245 |
  133.000  1000 133001 |    0.0365    4.7611 |
  134.000  1000 134001 |    0.0364    4.7975 |
  135.000  1000 135001 |    0.0363    4.8338 |
  136.000  1000 136001 |    0.0364    4.8701 |
  137.000  1000 137001 |    0.0366    4.9067 |
  138.000  1000 138001 |    0.0364    4.9431 |
  139.000  1000 139001 |    0.0363    4.9794 |
  140.000  1000 140001 |    0.0364    5.0158 |
  141.000  1000 141001 |    0.0365    5.0523 |
  142.000  1000 142001 |    0.0365    5.0888 |
  143.000  1000 143001 |    0.0364    5.1252 |
  144.000  1000 144001 |    0.0363    5.1615 |
  145.000  1000 145001 |    0.0364    5.1980 |
  146.000  1000 146001 |    0.0365    5.2345 |
  147.000  1000 147001 |    0.0365    5.2710 |
  148.000  1000 148001 |    0.0364    5.3074 |
  149.000  1000 149001 |    0.0366    5.3440 |
  150.000  1000 150001 |    0.0366    5.3806 |
  151.000  1000 151001 |    0.0366    5.4171 |
  152.000  1000 152001 |    0.0364    5.4535 |
  153.000  1000 153001 |    0.0365    5.4901 |
  154.000  1000 154001 |    0.0366    5.5267 |
  155.000  1000 155001 |    0.0366    5.5632 |
  156.000  1000 156001 |    0.0365    5.5998 |
  157.000  1000 157001 |    0.0365    5.6362 |
  158.000  1000 158001 |    0.0367    5.6729 |
  159.000  1000 159001 |    0.0366    5.7095 |
  160.000  1000 160001 |    0.0366    5.7461 |
  161.000  1000 161001 |    0.0365    5.7826 |
  162.000  1000 162001 |    0.0367    5.8193 |
  163.000  1000 163001 |    0.0367    5.8560 |
  164.000  1000 164001 |    0.0367    5.8928 |
  165.000  1000 165001 |    0.0366    5.9294 |
  166.000  1000 166001 |    0.0367    5.9661 |
  167.000  1000 167001 |    0.0368    6.0029 |
  168.000  1000 168001 |    0.0368    6.0397 |
  169.000  1000 169001 |    0.0367    6.0765 |
  170.000  1000 170001 |    0.0366    6.1130 |
  171.000  1000 171001 |    0.0395    6.1525 |
  172.000  1000 172001 |    0.0429    6.1954 |
  173.000  1000 173001 |    0.0441    6.2396 |
  174.000  1000 174001 |    0.0376    6.2772 |
  175.000  1000 175001 |    0.0372    6.3144 |
  176.000  1000 176001 |    0.0369    6.3513 |
  177.000  1000 177001 |    0.0371    6.3884 |
  178.000  1000 178001 |    0.0370    6.4254 |
  179.000  1000 179001 |    0.0372    6.4626 |
  180.000  1000 180001 |    0.0369    6.4995 |
  181.000  1000 181001 |    0.0527    6.5522 |
  182.000  1000 182001 |    0.0378    6.5901 |
  183.000  1000 183001 |    0.0386    6.6287 |
  184.000  1000 184001 |    0.0549    6.6836 |
  185.000  1000 185001 |    0.0391    6.7227 |
  186.000  1000 186001 |    0.0368    6.7595 |
  187.000  1000 187001 |    0.0378    6.7974 |
  188.000  1000 188001 |    0.0414    6.8388 |
  189.000  1000 189001 |    0.0382    6.8770 |
  190.000  1000 190001 |    0.0378    6.9148 |
  191.000  1000 191001 |    0.0368    6.9516 |
  192.000  1000 192001 |    0.0376    6.9892 |
  193.000  1000 193001 |    0.0370    7.0262 |
  194.000  1000 194001 |    0.0368    7.0630 |
  195.000  1000 195001 |    0.0368    7.0998 |
  196.000  1000 196001 |    0.0368    7.1366 |
  197.000  1000 197001 |    0.0369    7.1735 |
  198.000  1000 198001 |    0.0368    7.2104 |
  199.000  1000 199001 |    0.0368    7.2472 |
  200.000  1000 200001 |    0.0369    7.2841 |
  201.000  1000 201001 |    0.0371    7.3212 |
  202.000  1000 202001 |    0.0380    7.3592 |
  203.000  1000 203001 |    0.0368    7.3960 |
  204.000  1000 204001 |    0.0371    7.4331 |
  205.000  1000 205001 |    0.0370    7.4701 |
  206.000  1000 206001 |    0.0369    7.5070 |
  207.000  1000 207001 |    0.0372    7.5443 |
  208.000  1000 208001 |    0.0373    7.5815 |
  209.000  1000 209001 |    0.0371    7.6187 |
  210.000  1000 210001 |    0.0371    7.6558 |
  211.000  1000 211001 |    0.0370    7.6928 |
  212.000  1000 212001 |    0.0370    7.7298 |
  213.000  1000 213001 |    0.0370    7.7668 |
  214.000  1000 214001 |    0.0373    7.8042 |
  215.000  1000 215001 |    0.0373    7.8415 |
  216.000  1000 216001 |    0.0373    7.8788 |
  217.000  1000 217001 |    0.0373    7.9161 |
  218.000  1000 218001 |    0.0372    7.9533 |
  219.000  1000 219001 |    0.0371    7.9904 |
  220.000  1000 220001 |    0.0372    8.0276 |
  221.000  1000 221001 |    0.0372    8.0648 |
  222.000  1000 222001 |    0.0372    8.1020 |
  223.000  1000 223001 |    0.0373    8.1393 |
  224.000  1000 224001 |    0.0372    8.1765 |
  225.000  1000 225001 |    0.0372    8.2137 |
  226.000  1000 226001 |    0.0373    8.2510 |
  227.000  1000 227001 |    0.0373    8.2883 |
  228.000  1000 228001 |    0.0372    8.3254 |
  229.000  1000 229001 |    0.0372    8.3626 |
  230.000  1000 230001 |    0.0373    8.3999 |
  231.000  1000 231001 |    0.0374    8.4373 |
  232.000  1000 232001 |    0.0375    8.4748 |
  233.000  1000 233001 |    0.0374    8.5121 |
  234.000  1000 234001 |    0.0372    8.5494 |
  235.000  1000 235001 |    0.0374    8.5868 |
  236.000  1000 236001 |    0.0373    8.6241 |
  237.000  1000 237001 |    0.0373    8.6614 |
  238.000  1000 238001 |    0.0373    8.6987 |
  239.000  1000 239001 |    0.0374    8.7360 |
  240.000  1000 240001 |    0.0375    8.7735 |
  241.000  1000 241001 |    0.0374    8.8108 |
  242.000  1000 242001 |    0.0373    8.8481 |
  243.000  1000 243001 |    0.0373    8.8854 |
  244.000  1000 244001 |    0.0374    8.9228 |
  245.000  1000 245001 |    0.0373    8.9601 |
  246.000  1000 246001 |    0.0375    8.9975 |
  247.000  1000 247001 |    0.0373    9.0348 |
  248.000  1000 248001 |    0.0374    9.0722 |
  249.000  1000 249001 |    0.0374    9.1097 |
  250.000  1000 250001 |    0.0373    9.1470 |
  251.000  1000 251001 |    0.0377    9.1847 |
  252.000  1000 252001 |    0.0375    9.2222 |
  253.000  1000 253001 |    0.0375    9.2597 |
  254.000  1000 254001 |    0.0374    9.2970 |
  255.000  1000 255001 |    0.0376    9.3346 |
  256.000  1000 256001 |    0.0374    9.3720 |
  257.000  1000 257001 |    0.0374    9.4093 |
  258.000  1000 258001 |    0.0373    9.4467 |
  259.000  1000 259001 |    0.0374    9.4841 |
  260.000  1000 260001 |    0.0374    9.5215 |
  261.000  1000 261001 |    0.0375    9.5590 |
  262.000  1000 262001 |    0.0375    9.5965 |
  263.000  1000 263001 |    0.0375    9.6339 |
  264.000  1000 264001 |    0.0375    9.6714 |
  265.000  1000 265001 |    0.0384    9.7098 |
  266.000  1000 266001 |    0.0376    9.7474 |
  267.000  1000 267001 |    0.0380    9.7854 |
  268.000  1000 268001 |    0.0382    9.8235 |
  269.000  1000 269001 |    0.0375    9.8611 |
  270.000  1000 270001 |    0.0384    9.8995 |
  271.000  1000 271001 |    0.0377    9.9372 |
  272.000  1000 272001 |    0.0374    9.9746 |
  273.000  1000 273001 |    0.0376   10.0122 |
  274.000  1000 274001 |    0.0375   10.0496 |
  275.000  1000 275001 |    0.0375   10.0871 |
  276.000  1000 276001 |    0.0376   10.1247 |
  277.000  1000 277001 |    0.0377   10.1624 |
  278.000  1000 278001 |    0.0375   10.1999 |
  279.000  1000 279001 |    0.0376   10.2375 |
  280.000  1000 280001 |    0.0379   10.2754 |
  281.000  1000 281001 |    0.0375   10.3129 |
  282.000  1000 282001 |    0.0376   10.3504 |
  283.000  1000 283001 |    0.0375   10.3879 |
  284.000  1000 284001 |    0.0375   10.4254 |
  285.000  1000 285001 |    0.0377   10.4631 |
  286.000  1000 286001 |    0.0376   10.5007 |
  287.000  1000 287001 |    0.0375   10.5383 |
  288.000  1000 288001 |    0.0377   10.5759 |
  289.000  1000 289001 |    0.0376   10.6135 |
  290.000  1000 290001 |    0.0379   10.6514 |
  291.000  1000 291001 |    0.0377   10.6891 |
  292.000  1000 292001 |    0.0377   10.7268 |
  293.000  1000 293001 |    0.0377   10.7644 |
  294.000  1000 294001 |    0.0377   10.8021 |
  295.000  1000 295001 |    0.0377   10.8398 |
  296.000  1000 296001 |    0.0376   10.8775 |
  297.000  1000 297001 |    0.0378   10.9152 |
  298.000  1000 298001 |    0.0379   10.9532 |
  299.000  1000 299001 |    0.0378   10.9910 |
  300.000  1000 300001 |    0.0377   11.0287 |
  301.000  1000 301001 |    0.0378   11.0665 |
  302.000  1000 302001 |    0.0377   11.1043 |
  303.000  1000 303001 |    0.0380   11.1422 |
  304.000  1000 304001 |    0.0377   11.1799 |
  305.000  1000 305001 |    0.0377   11.2176 |
  306.000  1000 306001 |    0.0377   11.2553 |
  307.000  1000 307001 |    0.0379   11.2933 |
  308.000  1000 308001 |    0.0379   11.3311 |
  309.000  1000 309001 |    0.0377   11.3688 |
  310.000  1000 310001 |    0.0378   11.4066 |
  311.000  1000 311001 |    0.0379   11.4445 |
  312.000  1000 312001 |    0.0378   11.4822 |
  313.000  1000 313001 |    0.0397   11.5219 |
  314.000  1000 314001 |    0.0380   11.5599 |
  315.000  1000 315001 |    0.0378   11.5977 |
  316.000  1000 316001 |    0.0380   11.6357 |
  317.000  1000 317001 |    0.0378   11.6735 |
  318.000  1000 318001 |    0.0379   11.7114 |
  319.000  1000 319001 |    0.0378   11.7491 |
  320.000  1000 320001 |    0.0379   11.7870 |
  321.000  1000 321001 |    0.0379   11.8249 |
  322.000  1000 322001 |    0.0380   11.8629 |
  323.000  1000 323001 |    0.0379   11.9008 |
  324.000  1000 324001 |    0.0379   11.9387 |
  325.000  1000 325001 |    0.0378   11.9765 |
  326.000  1000 326001 |    0.0379   12.0144 |
  327.000  1000 327001 |    0.0378   12.0522 |
  328.000  1000 328001 |    0.0380   12.0902 |
  329.000  1000 329001 |    0.0380   12.1281 |
  330.000  1000 330001 |    0.0380   12.1661 |
  331.000  1000 331001 |    0.0379   12.2040 |
  332.000  1000 332001 |    0.0380   12.2420 |
  333.000  1000 333001 |    0.0379   12.2799 |
  334.000  1000 334001 |    0.0379   12.3178 |
  335.000  1000 335001 |    0.0379   12.3557 |
  336.000  1000 336001 |    0.0381   12.3937 |
  337.000  1000 337001 |    0.0380   12.4317 |
  338.000  1000 338001 |    0.0379   12.4696 |
  339.000  1000 339001 |    0.0388   12.5085 |
  340.000  1000 340001 |    0.0380   12.5465 |
  341.000  1000 341001 |    0.0380   12.5845 |
  342.000  1000 342001 |    0.0381   12.6227 |
  343.000  1000 343001 |    0.0383   12.6609 |
  344.000  1000 344001 |    0.0380   12.6989 |
  345.000  1000 345001 |    0.0380   12.7369 |
  346.000  1000 346001 |    0.0380   12.7749 |
  347.000  1000 347001 |    0.0381   12.8130 |
  348.000  1000 348001 |    0.0380   12.8510 |
  349.000  1000 349001 |    0.0381   12.8891 |
  350.000  1000 350001 |    0.0382   12.9273 |
  351.000  1000 351001 |    0.0380   12.9654 |
  352.000  1000 352001 |    0.0381   13.0034 |
  353.000  1000 353001 |    0.0381   13.0415 |
  354.000  1000 354001 |    0.0380   13.0795 |
  355.000  1000 355001 |    0.0380   13.1175 |
  356.000  1000 356001 |    0.0381   13.1556 |
  357.000  1000 357001 |    0.0381   13.1936 |
  358.000  1000 358001 |    0.0381   13.2317 |
  359.000  1000 359001 |    0.0380   13.2697 |
  360.000  1000 360001 |    0.0382   13.3079 |
